DELETE FROM `npc_trainer` WHERE (`entry`=11868);
INSERT INTO `npc_trainer` (entry, spell, spellcost, reqskill, reqskillvalue, reqlevel) VALUES 
(11868, 465, 0, 0, 0, 0), 
(11868, 498, 0, 0, 0, 6), 
(11868, 633, 0, 0, 0, 10), 
(11868, 639, 0, 0, 0, 6), 
(11868, 642, 0, 0, 0, 34), 
(11868, 643, 0, 0, 0, 20), 
(11868, 647, 0, 0, 0, 14), 
(11868, 750, 0, 0, 0, 40), 
(11868, 853, 0, 0, 0, 8), 
(11868, 879, 0, 0, 0, 20), 
(11868, 1022, 0, 0, 0, 10), 
(11868, 1026, 0, 0, 0, 22), 
(11868, 1032, 0, 0, 0, 40), 
(11868, 1038, 0, 0, 0, 26), 
(11868, 1042, 0, 0, 0, 30), 
(11868, 1044, 0, 0, 0, 18), 
(11868, 1152, 0, 0, 0, 8), 
(11868, 2800, 0, 0, 0, 30), 
(11868, 2812, 0, 0, 0, 50), 
(11868, 3472, 0, 0, 0, 38), 
(11868, 4987, 0, 0, 0, 42), 
(11868, 5588, 0, 0, 0, 24), 
(11868, 5589, 0, 0, 0, 40), 
(11868, 5599, 0, 0, 0, 24), 
(11868, 5614, 0, 0, 0, 28), 
(11868, 5615, 0, 0, 0, 36), 
(11868, 6940, 0, 0, 0, 46), 
(11868, 7294, 0, 0, 0, 16), 
(11868, 10278, 0, 0, 0, 38), 
(11868, 10290, 0, 0, 0, 10), 
(11868, 10291, 0, 0, 0, 30), 
(11868, 10292, 0, 0, 0, 50), 
(11868, 10293, 0, 0, 0, 60), 
(11868, 10298, 0, 0, 0, 26), 
(11868, 10299, 0, 0, 0, 36), 
(11868, 10300, 0, 0, 0, 46), 
(11868, 10301, 0, 0, 0, 56), 
(11868, 10308, 0, 0, 0, 54), 
(11868, 10310, 0, 0, 0, 50), 
(11868, 10312, 0, 0, 0, 44), 
(11868, 10313, 0, 0, 0, 52), 
(11868, 10314, 0, 0, 0, 60), 
(11868, 10318, 0, 0, 0, 60), 
(11868, 10322, 0, 0, 0, 24), 
(11868, 10324, 0, 0, 0, 36), 
(11868, 10326, 0, 0, 0, 24), 
(11868, 10328, 0, 0, 0, 46), 
(11868, 10329, 0, 0, 0, 54), 
(11868, 13820, 0, 0, 0, 20), 
(11868, 19740, 0, 0, 0, 4), 
(11868, 19742, 0, 0, 0, 14), 
(11868, 19746, 0, 0, 0, 22), 
(11868, 19750, 0, 0, 0, 20), 
(11868, 19752, 0, 0, 0, 30), 
(11868, 19834, 0, 0, 0, 12), 
(11868, 19835, 0, 0, 0, 22), 
(11868, 19836, 0, 0, 0, 32), 
(11868, 19837, 0, 0, 0, 42), 
(11868, 19838, 0, 0, 0, 52), 
(11868, 19850, 0, 0, 0, 24), 
(11868, 19852, 0, 0, 0, 34), 
(11868, 19853, 0, 0, 0, 44), 
(11868, 19854, 0, 0, 0, 54), 
(11868, 19876, 0, 0, 0, 28), 
(11868, 19888, 0, 0, 0, 32), 
(11868, 19891, 0, 0, 0, 36), 
(11868, 19895, 0, 0, 0, 40), 
(11868, 19896, 0, 0, 0, 52), 
(11868, 19897, 0, 0, 0, 44), 
(11868, 19898, 0, 0, 0, 56), 
(11868, 19899, 0, 0, 0, 48), 
(11868, 19900, 0, 0, 0, 60), 
(11868, 19939, 0, 0, 0, 26), 
(11868, 19940, 0, 0, 0, 34), 
(11868, 19941, 0, 0, 0, 42), 
(11868, 19942, 0, 0, 0, 50), 
(11868, 19943, 0, 0, 0, 58), 
(11868, 20116, 0, 0, 0, 30), 
(11868, 20164, 0, 0, 0, 22), 
(11868, 20165, 0, 0, 0, 30), 
(11868, 20166, 0, 0, 0, 38), 
(11868, 20217, 0, 0, 0, 20), 
(11868, 20271, 0, 0, 0, 4), 
(11868, 20772, 0, 0, 0, 48), 
(11868, 20773, 0, 0, 0, 60), 
(11868, 20922, 0, 0, 0, 40), 
(11868, 20923, 0, 0, 0, 50), 
(11868, 20924, 0, 0, 0, 60), 
(11868, 20927, 0, 0, 0, 50), 
(11868, 20928, 0, 0, 0, 60), 
(11868, 20929, 0, 0, 0, 48), 
(11868, 20930, 0, 0, 0, 56), 
(11868, 23215, 0, 0, 0, 40), 
(11868, 24239, 0, 0, 0, 60), 
(11868, 24274, 0, 0, 0, 52), 
(11868, 24275, 0, 0, 0, 44), 
(11868, 25290, 0, 0, 0, 60), 
(11868, 25291, 0, 0, 0, 60), 
(11868, 25292, 0, 0, 0, 60), 
(11868, 25780, 0, 0, 0, 16), 
(11868, 25782, 0, 0, 0, 52), 
(11868, 25894, 0, 0, 0, 54), 
(11868, 25898, 0, 0, 0, 60), 
(11868, 25899, 0, 0, 0, 60), 
(11868, 25916, 0, 0, 0, 60), 
(11868, 25918, 0, 0, 0, 60), 
(11868, 26573, 0, 0, 0, 20), 
(11868, 27135, 0, 0, 0, 62), 
(11868, 27136, 0, 0, 0, 70), 
(11868, 27137, 0, 0, 0, 66), 
(11868, 27138, 0, 0, 0, 68), 
(11868, 27139, 0, 0, 0, 69), 
(11868, 27140, 0, 0, 0, 70), 
(11868, 27141, 0, 0, 0, 70), 
(11868, 27142, 0, 0, 0, 65), 
(11868, 27143, 0, 0, 0, 65), 
(11868, 27149, 0, 0, 0, 70), 
(11868, 27150, 0, 0, 0, 66), 
(11868, 27151, 0, 0, 0, 63), 
(11868, 27152, 0, 0, 0, 68), 
(11868, 27153, 0, 0, 0, 70), 
(11868, 27154, 0, 0, 0, 69), 
(11868, 27173, 0, 0, 0, 70), 
(11868, 27174, 0, 0, 0, 64), 
(11868, 27179, 0, 0, 0, 70), 
(11868, 27180, 0, 0, 0, 68), 
(11868, 31789, 0, 0, 0, 14), 
(11868, 31801, 0, 0, 0, 64), 
(11868, 31884, 0, 0, 0, 70), 
(11868, 32223, 0, 0, 0, 62), 
(11868, 32699, 0, 0, 0, 60), 
(11868, 32700, 0, 0, 0, 70), 
(11868, 33072, 0, 0, 0, 70), 
(11868, 48781, 0, 0, 0, 75), 
(11868, 48782, 0, 0, 0, 80), 
(11868, 48784, 0, 0, 0, 74), 
(11868, 48785, 0, 0, 0, 79), 
(11868, 48788, 0, 0, 0, 78), 
(11868, 48800, 0, 0, 0, 73), 
(11868, 48801, 0, 0, 0, 79), 
(11868, 48805, 0, 0, 0, 74), 
(11868, 48806, 0, 0, 0, 80), 
(11868, 48816, 0, 0, 0, 72), 
(11868, 48817, 0, 0, 0, 78), 
(11868, 48818, 0, 0, 0, 75), 
(11868, 48819, 0, 0, 0, 80), 
(11868, 48824, 0, 0, 0, 75), 
(11868, 48825, 0, 0, 0, 80), 
(11868, 48826, 0, 0, 0, 75), 
(11868, 48827, 0, 0, 0, 80), 
(11868, 48931, 0, 0, 0, 73), 
(11868, 48932, 0, 0, 0, 79), 
(11868, 48933, 0, 0, 0, 73), 
(11868, 48934, 0, 0, 0, 79), 
(11868, 48935, 0, 0, 0, 71), 
(11868, 48936, 0, 0, 0, 77), 
(11868, 48937, 0, 0, 0, 71), 
(11868, 48938, 0, 0, 0, 77), 
(11868, 48941, 0, 0, 0, 74), 
(11868, 48942, 0, 0, 0, 79), 
(11868, 48943, 0, 0, 0, 76), 
(11868, 48945, 0, 0, 0, 77), 
(11868, 48947, 0, 0, 0, 78), 
(11868, 48949, 0, 0, 0, 72), 
(11868, 48950, 0, 0, 0, 79), 
(11868, 48951, 0, 0, 0, 75), 
(11868, 48952, 0, 0, 0, 80), 
(11868, 53407, 0, 0, 0, 28), 
(11868, 53408, 0, 0, 0, 12), 
(11868, 53600, 0, 0, 0, 75), 
(11868, 53601, 0, 0, 0, 80), 
(11868, 54043, 0, 0, 0, 76), 
(11868, 54428, 0, 0, 0, 71), 
(11868, 61411, 0, 0, 0, 80), 
(11868, 62124, 0, 0, 0, 16), 
(11868, 7328, 0, 0, 0, 12), 
(11868, 5502, 0, 0, 0, 20), 
(11868, 34769, 0, 0, 0, 20), 
(11868, 13819, 0, 0, 0, 20), 
(11868, 23214, 0, 0, 0, 40), 
(11868, 34767, 0, 0, 0, 40), 
(11868, 99, 0, 0, 0, 10), 
(11868, 339, 0, 0, 0, 8), 
(11868, 467, 0, 0, 0, 6), 
(11868, 740, 0, 0, 0, 30), 
(11868, 768, 0, 0, 0, 20), 
(11868, 769, 0, 0, 0, 34), 
(11868, 770, 0, 0, 0, 18), 
(11868, 774, 0, 0, 0, 4), 
(11868, 779, 0, 0, 0, 16), 
(11868, 780, 0, 0, 0, 24), 
(11868, 782, 0, 0, 0, 14), 
(11868, 783, 0, 0, 0, 16), 
(11868, 1058, 0, 0, 0, 10), 
(11868, 1062, 0, 0, 0, 18), 
(11868, 1075, 0, 0, 0, 24), 
(11868, 1079, 0, 0, 0, 20), 
(11868, 1082, 0, 0, 0, 20), 
(11868, 1126, 0, 0, 0, 0), 
(11868, 1430, 0, 0, 0, 16), 
(11868, 1735, 0, 0, 0, 20), 
(11868, 1822, 0, 0, 0, 24), 
(11868, 1823, 0, 0, 0, 34), 
(11868, 1824, 0, 0, 0, 44), 
(11868, 1850, 0, 0, 0, 26), 
(11868, 2090, 0, 0, 0, 22), 
(11868, 2091, 0, 0, 0, 28), 
(11868, 2637, 0, 0, 0, 18), 
(11868, 2782, 0, 0, 0, 24), 
(11868, 2893, 0, 0, 0, 26), 
(11868, 2908, 0, 0, 0, 22), 
(11868, 2912, 0, 0, 0, 20), 
(11868, 3029, 0, 0, 0, 28), 
(11868, 3627, 0, 0, 0, 34), 
(11868, 5177, 0, 0, 0, 6), 
(11868, 5178, 0, 0, 0, 14), 
(11868, 5179, 0, 0, 0, 22), 
(11868, 5180, 0, 0, 0, 30), 
(11868, 5186, 0, 0, 0, 8), 
(11868, 5187, 0, 0, 0, 14), 
(11868, 5188, 0, 0, 0, 20), 
(11868, 5189, 0, 0, 0, 26), 
(11868, 5195, 0, 0, 0, 28), 
(11868, 5196, 0, 0, 0, 38), 
(11868, 5201, 0, 0, 0, 38), 
(11868, 5209, 0, 0, 0, 28), 
(11868, 5211, 0, 0, 0, 14), 
(11868, 5215, 0, 0, 0, 20), 
(11868, 5217, 0, 0, 0, 24), 
(11868, 5221, 0, 0, 0, 22), 
(11868, 5225, 0, 0, 0, 32), 
(11868, 5229, 0, 0, 0, 12), 
(11868, 5232, 0, 0, 0, 10), 
(11868, 5234, 0, 0, 0, 30), 
(11868, 6756, 0, 0, 0, 20), 
(11868, 6778, 0, 0, 0, 32), 
(11868, 6780, 0, 0, 0, 38), 
(11868, 6783, 0, 0, 0, 40), 
(11868, 6785, 0, 0, 0, 32), 
(11868, 6787, 0, 0, 0, 42), 
(11868, 6793, 0, 0, 0, 36), 
(11868, 6798, 0, 0, 0, 30), 
(11868, 6800, 0, 0, 0, 30), 
(11868, 6808, 0, 0, 0, 18), 
(11868, 6809, 0, 0, 0, 26), 
(11868, 8903, 0, 0, 0, 38), 
(11868, 8905, 0, 0, 0, 46), 
(11868, 8907, 0, 0, 0, 40), 
(11868, 8910, 0, 0, 0, 40), 
(11868, 8914, 0, 0, 0, 34), 
(11868, 8918, 0, 0, 0, 40), 
(11868, 8921, 0, 0, 0, 4), 
(11868, 8924, 0, 0, 0, 10), 
(11868, 8925, 0, 0, 0, 16), 
(11868, 8926, 0, 0, 0, 22), 
(11868, 8927, 0, 0, 0, 28), 
(11868, 8928, 0, 0, 0, 34), 
(11868, 8929, 0, 0, 0, 40), 
(11868, 8936, 0, 0, 0, 12), 
(11868, 8938, 0, 0, 0, 18), 
(11868, 8939, 0, 0, 0, 24), 
(11868, 8940, 0, 0, 0, 30), 
(11868, 8941, 0, 0, 0, 36), 
(11868, 8949, 0, 0, 0, 26), 
(11868, 8950, 0, 0, 0, 34), 
(11868, 8951, 0, 0, 0, 42), 
(11868, 8955, 0, 0, 0, 38), 
(11868, 8972, 0, 0, 0, 34), 
(11868, 8983, 0, 0, 0, 46), 
(11868, 8992, 0, 0, 0, 38), 
(11868, 8998, 0, 0, 0, 28), 
(11868, 9000, 0, 0, 0, 40), 
(11868, 9005, 0, 0, 0, 36), 
(11868, 9490, 0, 0, 0, 32), 
(11868, 9492, 0, 0, 0, 28), 
(11868, 9493, 0, 0, 0, 36), 
(11868, 9634, 0, 0, 0, 40), 
(11868, 9745, 0, 0, 0, 42), 
(11868, 9747, 0, 0, 0, 42), 
(11868, 9750, 0, 0, 0, 42), 
(11868, 9752, 0, 0, 0, 44), 
(11868, 9754, 0, 0, 0, 44), 
(11868, 9756, 0, 0, 0, 44), 
(11868, 9758, 0, 0, 0, 44), 
(11868, 9821, 0, 0, 0, 46), 
(11868, 9823, 0, 0, 0, 46), 
(11868, 9827, 0, 0, 0, 56), 
(11868, 9829, 0, 0, 0, 46), 
(11868, 9830, 0, 0, 0, 54), 
(11868, 9833, 0, 0, 0, 46), 
(11868, 9834, 0, 0, 0, 52), 
(11868, 9835, 0, 0, 0, 58), 
(11868, 9839, 0, 0, 0, 46), 
(11868, 9840, 0, 0, 0, 52), 
(11868, 9841, 0, 0, 0, 58), 
(11868, 9845, 0, 0, 0, 48), 
